"","t.x","t.y","t.Freq","prop.row.x","prop.row.y","prop.row.Freq","prop.col.x","prop.col.y","prop.col.Freq","prop.tbl.x","prop.tbl.y","prop.tbl.Freq"
"1","Basking shark","2.5",0,"Basking shark","2.5",0,"Basking shark","2.5",0,"Basking shark","2.5",0
"2","Blue shark","2.5",0,"Blue shark","2.5",0,"Blue shark","2.5",0,"Blue shark","2.5",0
"3","Bull shark","2.5",0,"Bull shark","2.5",0,"Bull shark","2.5",0,"Bull shark","2.5",0
"4","Common thresher shark","2.5",0,"Common thresher shark","2.5",0,"Common thresher shark","2.5",0,"Common thresher shark","2.5",0
"5","Goblin shark","2.5",0,"Goblin shark","2.5",0,"Goblin shark","2.5",0,"Goblin shark","2.5",0
"6","Great hammerhead shark","2.5",0,"Great hammerhead shark","2.5",0,"Great hammerhead shark","2.5",0,"Great hammerhead shark","2.5",0
"7","Great white shark","2.5",0,"Great white shark","2.5",0,"Great white shark","2.5",0,"Great white shark","2.5",0
"8","Megamouth shark","2.5",0,"Megamouth shark","2.5",0,"Megamouth shark","2.5",0,"Megamouth shark","2.5",0
"9","Nurse shark","2.5",0,"Nurse shark","2.5",0,"Nurse shark","2.5",0,"Nurse shark","2.5",0
"10","Shortfin mako shark","2.5",1,"Shortfin mako shark","2.5",1,"Shortfin mako shark","2.5",1,"Shortfin mako shark","2.5",0.0833333333333333
"11","Tiger shark","2.5",0,"Tiger shark","2.5",0,"Tiger shark","2.5",0,"Tiger shark","2.5",0
"12","Whale shark","2.5",0,"Whale shark","2.5",0,"Whale shark","2.5",0,"Whale shark","2.5",0
"13","Basking shark","3.5",0,"Basking shark","3.5",0,"Basking shark","3.5",0,"Basking shark","3.5",0
"14","Blue shark","3.5",0,"Blue shark","3.5",0,"Blue shark","3.5",0,"Blue shark","3.5",0
"15","Bull shark","3.5",1,"Bull shark","3.5",1,"Bull shark","3.5",1,"Bull shark","3.5",0.0833333333333333
"16","Common thresher shark","3.5",0,"Common thresher shark","3.5",0,"Common thresher shark","3.5",0,"Common thresher shark","3.5",0
"17","Goblin shark","3.5",0,"Goblin shark","3.5",0,"Goblin shark","3.5",0,"Goblin shark","3.5",0
"18","Great hammerhead shark","3.5",0,"Great hammerhead shark","3.5",0,"Great hammerhead shark","3.5",0,"Great hammerhead shark","3.5",0
"19","Great white shark","3.5",0,"Great white shark","3.5",0,"Great white shark","3.5",0,"Great white shark","3.5",0
"20","Megamouth shark","3.5",0,"Megamouth shark","3.5",0,"Megamouth shark","3.5",0,"Megamouth shark","3.5",0
"21","Nurse shark","3.5",0,"Nurse shark","3.5",0,"Nurse shark","3.5",0,"Nurse shark","3.5",0
"22","Shortfin mako shark","3.5",0,"Shortfin mako shark","3.5",0,"Shortfin mako shark","3.5",0,"Shortfin mako shark","3.5",0
"23","Tiger shark","3.5",0,"Tiger shark","3.5",0,"Tiger shark","3.5",0,"Tiger shark","3.5",0
"24","Whale shark","3.5",0,"Whale shark","3.5",0,"Whale shark","3.5",0,"Whale shark","3.5",0
"25","Basking shark","3.6",0,"Basking shark","3.6",0,"Basking shark","3.6",0,"Basking shark","3.6",0
"26","Blue shark","3.6",0,"Blue shark","3.6",0,"Blue shark","3.6",0,"Blue shark","3.6",0
"27","Bull shark","3.6",0,"Bull shark","3.6",0,"Bull shark","3.6",0,"Bull shark","3.6",0
"28","Common thresher shark","3.6",0,"Common thresher shark","3.6",0,"Common thresher shark","3.6",0,"Common thresher shark","3.6",0
"29","Goblin shark","3.6",1,"Goblin shark","3.6",1,"Goblin shark","3.6",1,"Goblin shark","3.6",0.0833333333333333
"30","Great hammerhead shark","3.6",0,"Great hammerhead shark","3.6",0,"Great hammerhead shark","3.6",0,"Great hammerhead shark","3.6",0
"31","Great white shark","3.6",0,"Great white shark","3.6",0,"Great white shark","3.6",0,"Great white shark","3.6",0
"32","Megamouth shark","3.6",0,"Megamouth shark","3.6",0,"Megamouth shark","3.6",0,"Megamouth shark","3.6",0
"33","Nurse shark","3.6",0,"Nurse shark","3.6",0,"Nurse shark","3.6",0,"Nurse shark","3.6",0
"34","Shortfin mako shark","3.6",0,"Shortfin mako shark","3.6",0,"Shortfin mako shark","3.6",0,"Shortfin mako shark","3.6",0
"35","Tiger shark","3.6",0,"Tiger shark","3.6",0,"Tiger shark","3.6",0,"Tiger shark","3.6",0
"36","Whale shark","3.6",0,"Whale shark","3.6",0,"Whale shark","3.6",0,"Whale shark","3.6",0
"37","Basking shark","3.8",0,"Basking shark","3.8",0,"Basking shark","3.8",0,"Basking shark","3.8",0
"38","Blue shark","3.8",1,"Blue shark","3.8",1,"Blue shark","3.8",1,"Blue shark","3.8",0.0833333333333333
"39","Bull shark","3.8",0,"Bull shark","3.8",0,"Bull shark","3.8",0,"Bull shark","3.8",0
"40","Common thresher shark","3.8",0,"Common thresher shark","3.8",0,"Common thresher shark","3.8",0,"Common thresher shark","3.8",0
"41","Goblin shark","3.8",0,"Goblin shark","3.8",0,"Goblin shark","3.8",0,"Goblin shark","3.8",0
"42","Great hammerhead shark","3.8",0,"Great hammerhead shark","3.8",0,"Great hammerhead shark","3.8",0,"Great hammerhead shark","3.8",0
"43","Great white shark","3.8",0,"Great white shark","3.8",0,"Great white shark","3.8",0,"Great white shark","3.8",0
"44","Megamouth shark","3.8",0,"Megamouth shark","3.8",0,"Megamouth shark","3.8",0,"Megamouth shark","3.8",0
"45","Nurse shark","3.8",0,"Nurse shark","3.8",0,"Nurse shark","3.8",0,"Nurse shark","3.8",0
"46","Shortfin mako shark","3.8",0,"Shortfin mako shark","3.8",0,"Shortfin mako shark","3.8",0,"Shortfin mako shark","3.8",0
"47","Tiger shark","3.8",0,"Tiger shark","3.8",0,"Tiger shark","3.8",0,"Tiger shark","3.8",0
"48","Whale shark","3.8",0,"Whale shark","3.8",0,"Whale shark","3.8",0,"Whale shark","3.8",0
"49","Basking shark","4",0,"Basking shark","4",0,"Basking shark","4",0,"Basking shark","4",0
"50","Blue shark","4",0,"Blue shark","4",0,"Blue shark","4",0,"Blue shark","4",0
"51","Bull shark","4",0,"Bull shark","4",0,"Bull shark","4",0,"Bull shark","4",0
"52","Common thresher shark","4",0,"Common thresher shark","4",0,"Common thresher shark","4",0,"Common thresher shark","4",0
"53","Goblin shark","4",0,"Goblin shark","4",0,"Goblin shark","4",0,"Goblin shark","4",0
"54","Great hammerhead shark","4",0,"Great hammerhead shark","4",0,"Great hammerhead shark","4",0,"Great hammerhead shark","4",0
"55","Great white shark","4",0,"Great white shark","4",0,"Great white shark","4",0,"Great white shark","4",0
"56","Megamouth shark","4",0,"Megamouth shark","4",0,"Megamouth shark","4",0,"Megamouth shark","4",0
"57","Nurse shark","4",1,"Nurse shark","4",1,"Nurse shark","4",1,"Nurse shark","4",0.0833333333333333
"58","Shortfin mako shark","4",0,"Shortfin mako shark","4",0,"Shortfin mako shark","4",0,"Shortfin mako shark","4",0
"59","Tiger shark","4",0,"Tiger shark","4",0,"Tiger shark","4",0,"Tiger shark","4",0
"60","Whale shark","4",0,"Whale shark","4",0,"Whale shark","4",0,"Whale shark","4",0
"61","Basking shark","4.2",0,"Basking shark","4.2",0,"Basking shark","4.2",0,"Basking shark","4.2",0
"62","Blue shark","4.2",0,"Blue shark","4.2",0,"Blue shark","4.2",0,"Blue shark","4.2",0
"63","Bull shark","4.2",0,"Bull shark","4.2",0,"Bull shark","4.2",0,"Bull shark","4.2",0
"64","Common thresher shark","4.2",0,"Common thresher shark","4.2",0,"Common thresher shark","4.2",0,"Common thresher shark","4.2",0
"65","Goblin shark","4.2",0,"Goblin shark","4.2",0,"Goblin shark","4.2",0,"Goblin shark","4.2",0
"66","Great hammerhead shark","4.2",0,"Great hammerhead shark","4.2",0,"Great hammerhead shark","4.2",0,"Great hammerhead shark","4.2",0
"67","Great white shark","4.2",0,"Great white shark","4.2",0,"Great white shark","4.2",0,"Great white shark","4.2",0
"68","Megamouth shark","4.2",0,"Megamouth shark","4.2",0,"Megamouth shark","4.2",0,"Megamouth shark","4.2",0
"69","Nurse shark","4.2",0,"Nurse shark","4.2",0,"Nurse shark","4.2",0,"Nurse shark","4.2",0
"70","Shortfin mako shark","4.2",0,"Shortfin mako shark","4.2",0,"Shortfin mako shark","4.2",0,"Shortfin mako shark","4.2",0
"71","Tiger shark","4.2",1,"Tiger shark","4.2",1,"Tiger shark","4.2",1,"Tiger shark","4.2",0.0833333333333333
"72","Whale shark","4.2",0,"Whale shark","4.2",0,"Whale shark","4.2",0,"Whale shark","4.2",0
"73","Basking shark","5.5",0,"Basking shark","5.5",0,"Basking shark","5.5",0,"Basking shark","5.5",0
"74","Blue shark","5.5",0,"Blue shark","5.5",0,"Blue shark","5.5",0,"Blue shark","5.5",0
"75","Bull shark","5.5",0,"Bull shark","5.5",0,"Bull shark","5.5",0,"Bull shark","5.5",0
"76","Common thresher shark","5.5",0,"Common thresher shark","5.5",0,"Common thresher shark","5.5",0,"Common thresher shark","5.5",0
"77","Goblin shark","5.5",0,"Goblin shark","5.5",0,"Goblin shark","5.5",0,"Goblin shark","5.5",0
"78","Great hammerhead shark","5.5",0,"Great hammerhead shark","5.5",0,"Great hammerhead shark","5.5",0,"Great hammerhead shark","5.5",0
"79","Great white shark","5.5",0,"Great white shark","5.5",0,"Great white shark","5.5",0,"Great white shark","5.5",0
"80","Megamouth shark","5.5",1,"Megamouth shark","5.5",1,"Megamouth shark","5.5",1,"Megamouth shark","5.5",0.0833333333333333
"81","Nurse shark","5.5",0,"Nurse shark","5.5",0,"Nurse shark","5.5",0,"Nurse shark","5.5",0
"82","Shortfin mako shark","5.5",0,"Shortfin mako shark","5.5",0,"Shortfin mako shark","5.5",0,"Shortfin mako shark","5.5",0
"83","Tiger shark","5.5",0,"Tiger shark","5.5",0,"Tiger shark","5.5",0,"Tiger shark","5.5",0
"84","Whale shark","5.5",0,"Whale shark","5.5",0,"Whale shark","5.5",0,"Whale shark","5.5",0
"85","Basking shark","6.1",0,"Basking shark","6.1",0,"Basking shark","6.1",0,"Basking shark","6.1",0
"86","Blue shark","6.1",0,"Blue shark","6.1",0,"Blue shark","6.1",0,"Blue shark","6.1",0
"87","Bull shark","6.1",0,"Bull shark","6.1",0,"Bull shark","6.1",0,"Bull shark","6.1",0
"88","Common thresher shark","6.1",1,"Common thresher shark","6.1",1,"Common thresher shark","6.1",0.5,"Common thresher shark","6.1",0.0833333333333333
"89","Goblin shark","6.1",0,"Goblin shark","6.1",0,"Goblin shark","6.1",0,"Goblin shark","6.1",0
"90","Great hammerhead shark","6.1",1,"Great hammerhead shark","6.1",1,"Great hammerhead shark","6.1",0.5,"Great hammerhead shark","6.1",0.0833333333333333
"91","Great white shark","6.1",0,"Great white shark","6.1",0,"Great white shark","6.1",0,"Great white shark","6.1",0
"92","Megamouth shark","6.1",0,"Megamouth shark","6.1",0,"Megamouth shark","6.1",0,"Megamouth shark","6.1",0
"93","Nurse shark","6.1",0,"Nurse shark","6.1",0,"Nurse shark","6.1",0,"Nurse shark","6.1",0
"94","Shortfin mako shark","6.1",0,"Shortfin mako shark","6.1",0,"Shortfin mako shark","6.1",0,"Shortfin mako shark","6.1",0
"95","Tiger shark","6.1",0,"Tiger shark","6.1",0,"Tiger shark","6.1",0,"Tiger shark","6.1",0
"96","Whale shark","6.1",0,"Whale shark","6.1",0,"Whale shark","6.1",0,"Whale shark","6.1",0
"97","Basking shark","7",0,"Basking shark","7",0,"Basking shark","7",0,"Basking shark","7",0
"98","Blue shark","7",0,"Blue shark","7",0,"Blue shark","7",0,"Blue shark","7",0
"99","Bull shark","7",0,"Bull shark","7",0,"Bull shark","7",0,"Bull shark","7",0
"100","Common thresher shark","7",0,"Common thresher shark","7",0,"Common thresher shark","7",0,"Common thresher shark","7",0
"101","Goblin shark","7",0,"Goblin shark","7",0,"Goblin shark","7",0,"Goblin shark","7",0
"102","Great hammerhead shark","7",0,"Great hammerhead shark","7",0,"Great hammerhead shark","7",0,"Great hammerhead shark","7",0
"103","Great white shark","7",1,"Great white shark","7",1,"Great white shark","7",1,"Great white shark","7",0.0833333333333333
"104","Megamouth shark","7",0,"Megamouth shark","7",0,"Megamouth shark","7",0,"Megamouth shark","7",0
"105","Nurse shark","7",0,"Nurse shark","7",0,"Nurse shark","7",0,"Nurse shark","7",0
"106","Shortfin mako shark","7",0,"Shortfin mako shark","7",0,"Shortfin mako shark","7",0,"Shortfin mako shark","7",0
"107","Tiger shark","7",0,"Tiger shark","7",0,"Tiger shark","7",0,"Tiger shark","7",0
"108","Whale shark","7",0,"Whale shark","7",0,"Whale shark","7",0,"Whale shark","7",0
"109","Basking shark","10",1,"Basking shark","10",1,"Basking shark","10",1,"Basking shark","10",0.0833333333333333
"110","Blue shark","10",0,"Blue shark","10",0,"Blue shark","10",0,"Blue shark","10",0
"111","Bull shark","10",0,"Bull shark","10",0,"Bull shark","10",0,"Bull shark","10",0
"112","Common thresher shark","10",0,"Common thresher shark","10",0,"Common thresher shark","10",0,"Common thresher shark","10",0
"113","Goblin shark","10",0,"Goblin shark","10",0,"Goblin shark","10",0,"Goblin shark","10",0
"114","Great hammerhead shark","10",0,"Great hammerhead shark","10",0,"Great hammerhead shark","10",0,"Great hammerhead shark","10",0
"115","Great white shark","10",0,"Great white shark","10",0,"Great white shark","10",0,"Great white shark","10",0
"116","Megamouth shark","10",0,"Megamouth shark","10",0,"Megamouth shark","10",0,"Megamouth shark","10",0
"117","Nurse shark","10",0,"Nurse shark","10",0,"Nurse shark","10",0,"Nurse shark","10",0
"118","Shortfin mako shark","10",0,"Shortfin mako shark","10",0,"Shortfin mako shark","10",0,"Shortfin mako shark","10",0
"119","Tiger shark","10",0,"Tiger shark","10",0,"Tiger shark","10",0,"Tiger shark","10",0
"120","Whale shark","10",0,"Whale shark","10",0,"Whale shark","10",0,"Whale shark","10",0
"121","Basking shark","14",0,"Basking shark","14",0,"Basking shark","14",0,"Basking shark","14",0
"122","Blue shark","14",0,"Blue shark","14",0,"Blue shark","14",0,"Blue shark","14",0
"123","Bull shark","14",0,"Bull shark","14",0,"Bull shark","14",0,"Bull shark","14",0
"124","Common thresher shark","14",0,"Common thresher shark","14",0,"Common thresher shark","14",0,"Common thresher shark","14",0
"125","Goblin shark","14",0,"Goblin shark","14",0,"Goblin shark","14",0,"Goblin shark","14",0
"126","Great hammerhead shark","14",0,"Great hammerhead shark","14",0,"Great hammerhead shark","14",0,"Great hammerhead shark","14",0
"127","Great white shark","14",0,"Great white shark","14",0,"Great white shark","14",0,"Great white shark","14",0
"128","Megamouth shark","14",0,"Megamouth shark","14",0,"Megamouth shark","14",0,"Megamouth shark","14",0
"129","Nurse shark","14",0,"Nurse shark","14",0,"Nurse shark","14",0,"Nurse shark","14",0
"130","Shortfin mako shark","14",0,"Shortfin mako shark","14",0,"Shortfin mako shark","14",0,"Shortfin mako shark","14",0
"131","Tiger shark","14",0,"Tiger shark","14",0,"Tiger shark","14",0,"Tiger shark","14",0
"132","Whale shark","14",1,"Whale shark","14",1,"Whale shark","14",1,"Whale shark","14",0.0833333333333333
